paper,doi,canonical,paper_term,relevance
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,reference conductivity,bulk copper conductivity,0.85
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,particle morphology,nanoparticles,0.85
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,microstructure characterisation,microstructure analysis,0.85
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,electrical performance,electrical performance,0.85
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,deposition method,inkjet printing,0.85
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,application domain,electronics manufacturing,0.8
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,ink particle size,nanoparticle,0.8
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,resistivity metric,electrical performance metric vs. bulk copper,0.8
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,process feasibility,feasibility for electronics manufacturing,0.75
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,printed electronics substrate,inkjet-printed film,0.75
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,technique comparison,complementary techniques,0.7
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,material densification,sintered copper microstructure,0.7
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,manufacturing scalability,suitability for different application fields,0.65
Ink Jet Printing Approaches to Solar Cell Contacts,,deposition method,inkjet printing,1.0
Ink Jet Printing Approaches to Solar Cell Contacts,,ink composition,silver trifluoroacetate in ethylene glycol,0.97
Ink Jet Printing Approaches to Solar Cell Contacts,,contact type,front contacts,0.95
Ink Jet Printing Approaches to Solar Cell Contacts,,absorber material,Si (silicon) solar cells,0.93
Ink Jet Printing Approaches to Solar Cell Contacts,,ink type,metalorganic ink,0.92
Ink Jet Printing Approaches to Solar Cell Contacts,,line resolution,120 µm,0.91
Ink Jet Printing Approaches to Solar Cell Contacts,,electrode material,silver,0.91
Ink Jet Printing Approaches to Solar Cell Contacts,,conductive species,silver (trifluoroacetate),0.9
Ink Jet Printing Approaches to Solar Cell Contacts,,device type,Si solar cells,0.89
Ink Jet Printing Approaches to Solar Cell Contacts,,deposition rate,1 m per printing pass,0.88
Ink Jet Printing Approaches to Solar Cell Contacts,,precursor compound,silver trifluoroacetate,0.88
Ink Jet Printing Approaches to Solar Cell Contacts,,substrate temperature,180 °C,0.87
Ink Jet Printing Approaches to Solar Cell Contacts,,actuator type,piezoelectric inkjet,0.86
Ink Jet Printing Approaches to Solar Cell Contacts,,ink solvent,ethylene glycol,0.85
Ink Jet Printing Approaches to Solar Cell Contacts,,drop separation,40 µm,0.85
Ink Jet Printing Approaches to Solar Cell Contacts,,process parameter optimisation,optimized printing conditions,0.84
Ink Jet Printing Approaches to Solar Cell Contacts,,pulse frequency,50 Hz,0.83
Ink Jet Printing Approaches to Solar Cell Contacts,,pulse amplitude,25 V,0.83
Ink Jet Printing Approaches to Solar Cell Contacts,,print quality,line quality,0.82
Ink Jet Printing Approaches to Solar Cell Contacts,,process throughput,high through-put,0.8
Ink Jet Printing Approaches to Solar Cell Contacts,,drop formation method,pulse amplitude / pulse frequency control,0.79
Ink Jet Printing Approaches to Solar Cell Contacts,,process cost,low cost,0.78
Ink Jet Printing Approaches to Solar Cell Contacts,,process scalability,high deposition rates,0.76
Ink Jet Printing Approaches to Solar Cell Contacts,,contact geometry,line,0.75
Ink Jet Printing Approaches to Solar Cell Contacts,,printing pass count,single printing pass,0.72
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,photovoltaic technology,perovskite photovoltaic technology,1.0
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,absorber material,perovskite,1.0
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,device form factor,perovskite solar modules,0.95
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,patterning technique,laser technologies,0.95
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,solar cell architecture,perovskite solar cells,0.95
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,device upscaling,upscaling perovskite solar cells,0.93
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,manufacturing method,high throughput manufacturing technologies,0.92
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,active area fraction,active areas greater than 95% of the total area,0.92
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,module interconnect,interconnects,0.9
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,industrial laser,industrial lasers,0.9
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,film deposition method,film deposition methodologies,0.88
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,industrialization stage,pre-industrialization phase,0.88
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,laser scribing,preparation of interconnects via laser,0.88
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,device performance,high-performance commercial perovskite solar modules,0.87
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,laser processing speed,speed of laser processing,0.85
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,module geometry,high active surface area modules,0.85
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,layer treatment method,deposition and/or treatment of the critical layers,0.83
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,encapsulation method,encapsulation requirements,0.82
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,technology readiness,transitioning from basic research to pre-industrialization,0.82
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,cell area,<1 cm² laboratory cells,0.8
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,device reliability,reliable commercial perovskite solar modules,0.8
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,absorber chemistry,perovskite solar cells unique new chemistries,0.78
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,laboratory cell efficiency,very high performances reported for <1 cm² laboratory cells,0.78
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,structuring method,other structuring methods,0.75
Laser Processing Methods for Perovskite Solar Cells and Modules,10.1002/aenm.202101149,module total area,total area,0.72
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,metallization method,flatbed screen printing,1.0
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,cell substrate material,silicon solar cells,0.95
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,printing technology,printing technologies,0.95
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,contact formation,contact formation,0.9
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,paste rheology,paste rheology,0.9
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,screen technology,screen technology,0.88
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,grid line width,grid line width,0.87
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,metal contact material,silver,0.85
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,metal consumption,silver consumption,0.85
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,production throughput,throughput rates,0.83
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,mass production process,mass production of silicon solar cells,0.82
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,process sequence,process sequences,0.8
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,printing process mechanics,screen-printing process mechanics,0.8
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,alternative metallization method,alternative upcoming printing approaches,0.78
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,industry sector,PV industry,0.75
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,finger geometry,grid line width,0.75
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,conductive paste,paste,0.74
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,cell physics,physics on silicon solar cell metallization,0.72
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,metallization history,history and evolution of flatbed screen printing,0.7
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,process improvement,continuous efforts for further improvements,0.68
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,front contact technology,metallization,0.67
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,process challenge,challenges in metallization,0.65
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,industrial review,comprehensive overview,0.6
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,process requirement,requirements for printing technologies,0.58
Printing technologies for silicon solar cell metallization: A comprehensive review,10.1002/pip.3674,technology timeline,last 30 years,0.5
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,electrode material,electroplated copper electrodes,1.0
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,device architecture,two-terminal perovskite/silicon tandem solar cells,1.0
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,metallization method,electroplating,0.97
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,electrode metal,copper (Cu),0.97
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,plating process,light-induced Cu plating (LIP),0.95
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,metallization scheme,NOBLE (native oxide barrier layer for selective electroplating),0.93
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,photoconversion efficiency,≈15%,0.92
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,masking layer material,Al₂O₃,0.9
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,transparent conductive oxide,ITO,0.9
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,masking layer deposition method,atomic layer deposition (ALD),0.88
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,seed layer material,screen-printed Ag seed-layer,0.88
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,absorber material,perovskite,0.88
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,selective metallization,selective electroplating,0.88
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,cell configuration,bifacial perovskite/silicon tandem solar cells,0.87
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,cell active area,22.5 cm²,0.85
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,bottom cell material,silicon,0.85
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,barrier layer,native oxide barrier layer,0.85
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,masking layer thickness,10 nm,0.82
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,tandem cell configuration,two-terminal tandem,0.82
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,seed layer deposition method,screen printing,0.8
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,electrical contact,electrical contact between Cu electrode and perovskite/Si cells,0.8
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,current distribution,homogeneous electroplating current distribution,0.78
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,seed layer elimination,metal seed-layer-free on ITO,0.78
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,chemical compatibility,wet chemical metallization process,0.75
Plated copper electrodes for two-terminal perovskite/silicon tandem solar cells,10.1016/j.solmat.2022.111912,masking layer function,chemical protection of ITO during wet metallization,0.75
